,index,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1986,1982,1983,1984,1985,1987,1988,1989,1990,1991,1992,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
24,BRN,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,BGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,2.0,2.0,12.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0
26,BFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,10.0,32.0
27,BDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,16.0,83.0,35.0,79.0,12.0,13.0,17.0,37.0,18.0,18.0,1.0,5.0,5.0,3.0,7.0,0.0,29.0,8.0,4.0,2.0,5.0,102.0,83.0,21.0
28,KHM,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,67.0,39.0,56.0,33.0,18.0,7.0,8.0,4.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
29,CMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,3.0,68.0,83.0,56.0,94.0
30,CAN,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,4.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,5.0,1.0,2.0,4.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,5.0,4.0,2.0,0.0,3.0,4.0,3.0,5.0,6.0,12.0
31,CAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,13.0,3.0,4.0,20.0,94.0,48.0,38.0,43.0
32,TCD,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,7.0,8.0,3.0,1.0,0.0,0.0,0.0,1.0,27.0,5.0,6.0
33,CHL,0.0,0.0,0.0,7.0,0.0,0.0,2.0,6.0,8.0,49.0,41.0,34.0,243.0,21.0,106.0,563.0,232.0,173.0,184.0,146.0,161.0,127.0,116.0,15.0,17.0,8.0,6.0,1.0,3.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,8.0,4.0,8.0,5.0,6.0,2.0,5.0,17.0,1.0,18.0,12.0
34,CHN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,5.0,13.0,8.0,62.0,18.0,2.0,2.0,4.0,12.0,2.0,3.0,2.0,1.0,0.0,0.0,20.0,7.0,1.0,4.0,4.0,12.0,37.0,17.0,5.0,6.0
35,COL,1.0,0.0,2.0,5.0,0.0,10.0,22.0,80.0,158.0,140.0,141.0,172.0,307.0,222.0,234.0,237.0,382.0,337.0,427.0,491.0,349.0,420.0,523.0,201.0,123.0,409.0,598.0,94.0,115.0,137.0,206.0,150.0,98.0,37.0,42.0,43.0,30.0,133.0,139.0,136.0,94.0,115.0,149.0,230.0,136.0,109.0,117.0
